Index,country,year,rgdpe,rgdpo,emp,avh,hc,labor_stock,rnna,delta,capital_stock,Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Rule of law,Tax Burden,Government Spending,Fiscal Health,Government size,Business Freedom,Labor Freedom,Monetary Freedom,Regulatory efficiency,Trade Freedom,Investment Freedom,Financial Freedom,Market openness,Year,Countries,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights -- With Gender Adjustment,2 Legal System & Property Rights - No Gender Adjustment,3  Sound Money,4  Freedom to trade internationally,5  Regulation
10,Austria,2010,392208.28125,385229.0625,4.09695100784302,1665.8438684206,3.28288817405701,22405.3201907075,2290600.25,0.04091082885861,2196889.89518875,Austria,2010,71.6,90,,81,85.5,51.2,28.8,,40,73.6,79.1,79.3,77.3333333333333,87.5,75,70,77.5,2010,Austria,7.9,5.47,8.49,8.49,9.64,8.38,7.54
11,Austria,2011,411183.78125,402328.375,4.16814422607422,1671.68779057894,3.29365229606628,22949.6284211373,2326721.25,0.04121092706919,2230834.91025592,Austria,2011,71.9,90,,79,84.5,50.3,28,,39.15,72.8,78.2,82.9,77.9666666666667,87.6,80,70,79.2,2011,Austria,7.93,5.77,8.47,8.47,9.59,8.29,7.56
12,Austria,2012,421391.21875,409657.375,4.2164249420166,1647.85287599045,3.30445194244385,22959.4906010764,2361874.75,0.04157118871808,2263688.80903928,Austria,2012,70.3,90,,79,84.5,50.5,15.4,,32.95,70.3,78.1,82.2,76.8666666666667,87.2,80,70,79.0666666666667,2012,Austria,7.92,5.75,8.46,8.46,9.54,8.24,7.58
13,Austria,2013,423862.15625,404381.125,4.23290538787842,1632.06762453878,3.31528687477112,22903.2875360642,2396954.25,0.04192357882857,2296465.34955164,Austria,2013,71.8,90,,78,84,51.1,23.5,,37.3,73.6,80.4,79.3,77.7666666666667,86.8,85,70,80.6,2013,Austria,7.9,5.66,8.45,8.45,9.63,8.16,7.63
14,Austria,2014,429092.78125,423224.03125,4.26914358139038,1621.56576445456,3.32615733146668,23025.9796299452,2429371,0.04225591942668,2326715.69476649,Austria,2014,72.4,90,,75.5,82.75,51,23.5,,37.25,76.3,80.5,79.5,78.7666666666667,87.8,90,70,82.6,2014,Austria,7.97,5.65,8.48,8.48,9.61,8.66,7.47
15,Austria,2015,448794.71875,430623.875,4.27823972702026,1605.28054807562,3.33706331253052,22918.2000372323,2463467.75,0.04254187643528,2358667.2093772,Austria,2015,71.2,90,,69,79.5,50.1,19.8,,34.95,78,76.7,80.3,78.3333333333333,88,90,70,82.6666666666667,2015,Austria,7.96,5.61,8.47,8.47,9.62,8.54,7.55
16,Austria,2016,466582.8125,436191.0625,4.32122898101807,1618.21077872449,3.3480052947998,23411.4604094096,2501265,0.04298369958997,2393751.3766451,Austria,2016,71.7,90,,72,81,50.7,22.4,,36.55,79.4,72.5,81.7,77.8666666666667,88,90,70,82.6666666666667,2016,Austria,7.91,5.64,8.43,8.43,9.43,8.52,7.53
17,Austria,2017,480926.90625,458231.59375,4.39853477478027,1608.18096742251,3.35898303985596,23760.2364855471,2542417,0.04355916380882,2431671.44142666,Austria,2017,72.3,86,81.8,75.2,81,50.3,19.3,79.7,49.7666666666667,76.9,67.6,83.4,75.9666666666667,87,90,70,82.3333333333333,2017,Austria,7.91,5.69,8.46,8.46,9.23,8.57,7.61
18,Austria,2018,492542.71875,470960.75,4.4884819984436,1612.6927480831,3.36999678611755,24393.8645190032,2586262.5,0.0441628433764,2472045.79428225,Austria,2018,71.8,83.5,80.9,73.5,79.3,49.9,19.4,81.1,50.1333333333333,75.5,66.7,83.7,75.3,86.9,90,70,82.3,2018,Austria,7.91,5.5,8.51,8.51,9.36,8.6,7.57
19,Austria,2019,498022.25,477705.5,4.55028104782105,1611.37422283302,3.38104629516602,24790.5265356751,2633034.5,0.04478273540735,2515120.01266807,Austria,2019,72,84.2,71.3,77.4,77.6333333333333,50.5,24.5,85.5,53.5,74.9,68.7,81.5,75.0333333333334,86,90,70,82,2019,Austria,7.89,5.43,8.51,8.51,9.4,8.57,7.54
20,Belgium,2000,378521.625,346908.875,4.12124252319336,1589.10261089617,2.9736270904541,19474.5135392066,2009476,0.04075004160404,1927589.76939768,Belgium,2000,63.5,90,,54,72,33.1,18.9,,26,70,,87.9,78.95,77.8,70,70,72.6,2000,Belgium,7.86,5.26,7.11,7.56,9.62,9.34,7.98
21,Belgium,2001,380844.09375,348797.75,4.17833185195923,1581.24315890543,2.99241900444031,19770.7886454032,2065058.75,0.04134280607104,1979683.42657344,Belgium,2001,63.8,90,,53,71.5,33.2,22,,27.6,70,,88.3,79.15,78,70,70,72.6666666666667,2001,Belgium,7.65,5.26,7.11,7.56,9.64,9.36,6.89
22,Belgium,2002,386985.6875,358492.6875,4.18766069412231,1593.64555143097,3.01132941246033,20096.5490058917,2110001.75,0.04181545600295,2021771.06465673,Belgium,2002,67.6,90,,61,75.5,33.7,28,,30.85,70,,86,78,79.6,90,70,79.8666666666667,2002,Belgium,7.77,5.2,7.06,7.5,9.67,9.4,7.54
23,Belgium,2003,387888.96875,374266.28125,4.18803596496582,1598.21986767667,3.03035950660706,20283.4152481764,2151685.25,0.04208879172802,2061123.4176485,Belgium,2003,68.1,90,,66,78,33.7,26.8,,30.25,70,,85.2,77.6,81.4,90,70,80.4666666666667,2003,Belgium,7.78,5.08,7.15,7.6,9.66,9.46,7.54
24,Belgium,2004,398061,383970.3125,4.23582267761231,1587.8026490695,3.04950976371765,20509.9367710475,2202606.25,0.04238246753812,2109254.36211012,Belgium,2004,68.7,90,,71,80.5,43.1,23.5,,33.3,70,,81.3,75.65,79.8,90,70,79.9333333333333,2004,Belgium,7.75,5.08,7.1,7.54,9.61,9.21,7.74
25,Belgium,2005,413649.21875,429270.65625,4.30020713806152,1577.67644856314,3.06878113746643,20819.6408913973,2259361.75,0.04282537475228,2162603.73635528,Belgium,2005,69,90,,76,83,42.1,22,,32.05,70,68,81.8,73.2666666666667,80.2,90,70,80.0666666666667,2005,Belgium,7.64,5.07,7.16,7.6,9.53,8.59,7.86
26,Belgium,2006,430283.46875,417205.4375,4.34985685348511,1591.63766372009,3.07356929779053,21279.5373814245,2315923.5,0.04321213811636,2215847.49385108,Belgium,2006,71.8,90,,75,82.5,42.8,26.8,,34.8,90.7,68.4,81.5,80.2,82.4,90,70,80.8,2006,Belgium,7.62,5.05,7.2,7.65,9.51,8.75,7.58
27,Belgium,2007,449795.90625,430014.65625,4.42225980758667,1593.65753175217,3.07836484909058,21694.9845245026,2381024,0.04360830411315,2277191.58130729,Belgium,2007,72.5,80,,74,77,44.1,26.5,,35.3,92.6,70.8,80.5,81.3,86.6,90,80,85.5333333333334,2007,Belgium,7.61,5.05,7.11,7.55,9.58,8.74,7.6
28,Belgium,2008,460274.53125,467485.40625,4.49944686889648,1582.50514357277,3.08316802978516,21953.3828971987,2445839.5,0.04407785460353,2338032.14213543,Belgium,2008,71.65591615,80,,73,76.5,43.9499,17.9413,,30.9456,93.68466228,71.6,80.37312617,81.8859294833333,86,90,80,85.3333333333333,2008,Belgium,7.55,4.96,7.02,7.46,9.48,8.74,7.55
29,Belgium,2009,458331.59375,451867,4.48956441879273,1563.22521392411,3.08797860145569,21672.0523440214,2496512.25,0.04424300044775,2386059.05740544,Belgium,2009,72.1258713,80,,71,75.5,41.53827999,28.2637,,34.900989995,93.17320822,70.5,81.03299034,81.5687328533333,85.8,90,80,85.2666666666667,2009,Belgium,7.53,4.73,6.98,7.41,9.64,8.79,7.52
30,Belgium,2010,488960.96875,489332.59375,4.49962615966797,1573.83071067685,3.09279680252075,21902.1039713639,2545655.75,0.04415502399206,2433252.25928322,Belgium,2010,70.1,80,,73,76.5,42.2,30,,36.1,92.9,67.1,77.9,79.3,87.5,80,70,79.1666666666667,2010,Belgium,7.66,4.79,7.1,7.54,9.69,8.77,7.94
31,Belgium,2011,494871.0625,487755.40625,4.54205083847046,1590.23435097738,3.09899544715881,22383.8125182873,2601041.5,0.04418464750052,2486115.39818829,Belgium,2011,70.2,80,,71,75.5,41.8,25,,33.4,92.6,71,82.5,82.0333333333333,87.6,80,70,79.2,2011,Belgium,7.68,4.74,7.58,7.58,9.67,8.66,7.73
32,Belgium,2012,500611.46875,491813.125,4.56263446807861,1587.29507479661,3.10520648956299,22488.6730643229,2655517,0.04419201612473,2538164.34991652,Belgium,2012,69,80,,71,75.5,44.8,12.1,,28.45,92.3,71.3,81.2,81.6,87.1,80,70,79.0333333333333,2012,Belgium,7.66,4.74,7.57,7.57,9.65,8.57,7.75
33,Belgium,2013,501871.71875,490563.46875,4.55591201782227,1585.59508664181,3.11142992973328,22476.4461918148,2704309.25,0.04406845569611,2585134.51762781,Belgium,2013,69.2,80,,75,77.5,45,14.5,,29.75,91.6,69.8,79.3,80.2333333333333,86.8,80,70,78.9333333333333,2013,Belgium,7.66,4.75,7.59,7.59,9.78,8.46,7.72
34,Belgium,2014,508746.40625,493290.53125,4.58118343353272,1581.59598872649,3.11766600608826,22589.3026445988,2760423.25,0.04403929784894,2638856.14830411,Belgium,2014,69.9,80,,74.2,77.1,44.8,14.8,,29.8,89.9,72.7,79.5,80.7,87.8,85,70,80.9333333333333,2014,Belgium,7.8,4.73,7.65,7.65,9.73,8.9,7.97
35,Belgium,2015,531206.875,484155.03125,4.62203359603882,1575.45686873281,3.12391448020935,22747.7659973941,2820643.5,0.04422518238425,2695900.02677154,Belgium,2015,68.8,80,,75,77.5,43.6,10.2,,26.9,90.7,63.7,81.7,78.7,88,85,70,81,2015,Belgium,7.74,4.69,7.68,7.68,9.66,8.87,7.81
36,Belgium,2016,549813.1875,492930.46875,4.6838812828064,1574.1541719248,3.13017559051514,23079.2581058958,2884978.5,0.04457866773009,2756370.00204004,Belgium,2016,68.4,80,,76,78,44.2,11,,27.6,85.4,60.5,84,76.6333333333333,88,85,70,81,2016,Belgium,7.66,4.7,7.59,7.59,9.38,8.78,7.83
37,Belgium,2017,568297.125,515603.875,4.7691011428833,1577.91766637202,3.13644909858704,23602.5602735461,2948265.5,0.04496420547366,2815699.08426709,Belgium,2017,67.8,83.3,69.3,71.5,74.7,44.1,9.6,66.3,40,82,61.1,84.9,76,87,85,70,80.6666666666667,2017,Belgium,7.65,4.73,7.6,7.6,9.21,8.77,7.92
38,Belgium,2018,575549.9375,507573.0625,4.83939981460571,1583.26399701065,3.14273524284363,24079.7866904949,3014706.25,0.04535295814276,2877980.40363104,Belgium,2018,67.5,81.2,69.5,70.9,73.8666666666667,44,12.1,67.9,41.3333333333333,80.6,59.5,82.6,74.2333333333333,86.9,85,70,80.6333333333333,2018,Belgium,7.67,4.77,7.62,7.62,9.33,8.74,7.88
39,Belgium,2019,589449.125,517419.75,4.92193651199341,1586.43099700467,3.14903402328491,24588.6421927315,3084304.75,0.04577015340328,2943135.64845003,Belgium,2019,67.3,81.3,61.6,72.5,71.8,47.1,15.2,73.4,45.2333333333333,78.1,61,76.1,71.7333333333333,86,85,70,80.3333333333333,2019,Belgium,7.67,4.75,7.62,7.62,9.38,8.75,7.85
40,Bulgaria,2000,73997.1171875,79629.25,3.03881978988647,1640.25376636206,2.90184617042542,14464.0653740074,132846.21875,0.04863994196057,126384.586380318,Bulgaria,2000,47.3,50,,29,39.5,67.9,54.4,,61.15,55,,0,27.5,49.8,70,50,56.6,2000,Bulgaria,5.64,5.8,5.39,5.73,3.23,7.11,6.65
41,Bulgaria,2001,74861.078125,81448.59375,2.91546440124512,1651.8589372702,2.91945862770081,14059.9256939646,143743.3125,0.05085268616676,136433.578940867,Bulgaria,2001,51.9,50,,33,41.5,58.1,67.3,,62.7,55,,26.2,40.6,57.2,70,50,59.0666666666667,2001,Bulgaria,6.28,6.45,5.4,5.73,6.35,6.9,6.33
42,Bulgaria,2002,79149.7265625,84463.75,2.96275424957275,1651.25941926434,2.93717789649963,14369.4845241893,154738.484375,0.05375823751092,146420.016179889,Bulgaria,2002,57.1,50,,35,42.5,68.3,49.6,,58.95,55,,75.8,65.4,60.2,70,50,60.0666666666667,2002,Bulgaria,6.64,6.54,5.35,5.68,8.13,6.82,6.35
43,Bulgaria,2003,81779.0703125,86977.8515625,3.0426287651062,1640.51106442113,2.95500469207764,14749.8059056612,167030.359375,0.05691123753786,157524.454916575,Bulgaria,2003,57,50,,39,44.5,72.4,56.7,,64.55,55,,77.5,66.25,62.4,50,50,54.1333333333333,2003,Bulgaria,6.91,6.53,5.44,5.78,8.87,7.27,6.44
44,Bulgaria,2004,85991.3515625,90887.03125,3.1419689655304,1663.6886642769,2.97293972969055,15540.3234358324,181410.609375,0.05921043083072,170669.209036643,Bulgaria,2004,59.2,30,,40,35,81.1,64.5,,72.8,55,,78.7,66.85,63.2,50,70,61.0666666666667,2004,Bulgaria,6.97,6.73,5.43,5.77,8.75,7.29,6.67
45,Bulgaria,2005,91622.53125,100854.5078125,3.1546642780304,1658.64639927674,2.99098372459412,15650.2402235207,201423.03125,0.06136614084244,189062.477145402,Bulgaria,2005,62.3,30,,39,34.5,80.3,53.4,,66.85,55,80.3,83.1,72.8,82,50,70,67.3333333333333,2005,Bulgaria,7.11,6.9,5.57,5.74,8.96,7.23,6.9
46,Bulgaria,2006,97935.6015625,106781.78125,3.29018592834473,1654.10266774454,3.00913739204407,16376.6444416973,224093.046875,0.06289207935333,209999.369188407,Bulgaria,2006,64.1,30,,41,35.5,83.2,49.8,,66.5,70.5,79.8,80.7,77,65.8,70,70,68.6,2006,Bulgaria,7.24,7.02,5.53,5.69,8.72,8,6.95
47,Bulgaria,2007,108259.203125,115264.2734375,3.44104814529419,1654.52137793353,3.02740073204041,17235.8634078775,249606.859375,0.06384947896004,233669.591459055,Bulgaria,2007,62.7,30,,40,35,82.4,57.8,,70.1,70.3,79.8,75.8,75.3,70.8,60,60,63.6,2007,Bulgaria,7.27,7.05,5.43,5.59,8.54,8.19,7.14
48,Bulgaria,2008,116862.4609375,123447.671875,3.55541133880615,1693.59600487594,3.04577541351318,18339.9247855685,282376.03125,0.06394156813622,264320.465007794,Bulgaria,2008,63.74014902,30,,40,35,82.7424,55.9933,,69.36785,68.37686031,80.6,73.70213949,74.2263332666667,86,60,60,68.6666666666667,2008,Bulgaria,7.27,7.3,5.38,5.54,8.47,8.13,7.1
49,Bulgaria,2009,118083.75,119096.2421875,3.44210577011108,1646.27530472355,3.06426119804382,17364.1071340462,304683.375,0.06169165298343,285886.953959681,Bulgaria,2009,64.63055523,30,,41,35.5,86.1664,58.7077,,72.43705,73.47927664,78.4,72.78569909,74.8883252433333,85.8,60,60,68.6,2009,Bulgaria,7.37,7.22,5.32,5.48,9.05,8.14,7.14
50,Bulgaria,2010,123580.5390625,123621.28125,3.25347542762756,1644.8379390048,3.0828595161438,16497.7371648528,319603.84375,0.05898758769035,300751.183990623,Bulgaria,2010,62.3,30,,36,33,86.3,48.3,,67.3,77.8,78.1,69.5,75.1333333333333,87.4,50,60,65.8,2010,Bulgaria,7.45,7.02,5.31,5.47,9.22,8.37,7.3
51,Bulgaria,2011,124668.96875,122260.4140625,3.13699650764465,1643.59279908073,3.09415435791016,15953.28929084,332812.8125,0.05745660886168,313690.51690803,Bulgaria,2011,64.9,30,,38,34,86.9,58.3,,72.6,75.8,82,75.5,77.7666666666667,87.6,55,60,67.5333333333333,2011,Bulgaria,7.45,7.22,5.32,5.48,9.29,8.03,7.42
52,Bulgaria,2012,125457.875,125269,3.10398888587952,1644.44984416786,3.10549068450928,15851.5239206739,345982.09375,0.05652590095997,326425.144184765,Bulgaria,2012,64.7,30,,36,33,93.6,50.3,,71.95,72.7,84.2,77.8,78.2333333333333,87.1,55,60,67.3666666666667,2012,Bulgaria,7.52,7.51,5.29,5.45,9.31,7.99,7.49
53,Bulgaria,2013,122620.5703125,119148.2578125,3.10494136810303,1644.97951238901,3.11686825752258,15919.607027548,358777.125,0.05562281981111,338820.929623778,Bulgaria,2013,65,30,,33,31.5,94,64.2,,79.1,73.6,74.8,78.6,75.6666666666667,86.8,55,60,67.2666666666667,2013,Bulgaria,7.54,7.36,5.33,5.49,9.49,8.1,7.41
54,Bulgaria,2014,125676.6171875,122941.5390625,3.15413546562195,1644.05897203691,3.12828779220581,16222.0013477325,372061.96875,0.05510948225856,351557.826284088,Bulgaria,2014,65.7,30,,35.2,32.6,91.2,64.5,,77.85,73.5,80.2,79.6,77.7666666666667,87.8,55,60,67.6,2014,Bulgaria,7.56,7.06,5.39,5.56,9.49,8.55,7.3
55,Bulgaria,2015,132515.78125,127390.25,3.20756101608276,1644.38528122198,3.1397488117218,16560.4987436253,385611.25,0.05492510274053,364431.512475847,Bulgaria,2015,66.8,30,,41,35.5,91,64.5,,77.75,68.5,76.6,83.2,76.1,88,65,60,71,2015,Bulgaria,7.51,6.66,5.46,5.62,9.59,8.55,7.28
56,Bulgaria,2016,140550.03125,133492.140625,3.1915864944458,1643.54743239927,3.15125203132629,16529.9674930194,396300.46875,0.05465110763907,374642.209174928,Bulgaria,2016,65.9,30,,43,36.5,91.1,60.4,,75.75,66.9,71.6,82.6,73.7,88,65,60,71,2016,Bulgaria,7.75,7.64,5.61,5.61,9.63,8.54,7.33
57,Bulgaria,2017,146484.234375,139064.671875,3.33282136917114,1643.25811621541,3.16279745101929,17321.6477769008,407476.59375,0.05443908274174,385293.941747522,Bulgaria,2017,67.9,62.5,38.9,41.8,47.7333333333333,91,58.4,86.4,78.6,66.7,68.3,83.3,72.7666666666667,87,70,60,72.3333333333333,2017,Bulgaria,7.75,7.67,5.65,5.65,9.54,8.6,7.27
58,Bulgaria,2018,152111.265625,143782.765625,3.33536028862,1644.57156324894,3.17438507080078,17412.2597878058,419648.1875,0.0545269921422,396766.034077699,Bulgaria,2018,68.3,63.6,42.5,38.2,48.1,90.9,60.5,94.3,81.9,64.3,66.1,82.8,71.0666666666667,86.9,70,60,72.3,2018,Bulgaria,7.71,7.49,5.73,5.73,9.51,8.5,7.34
59,Bulgaria,2019,159419.96875,149432.421875,3.42041850090027,1645.2464639261,3.18601512908936,17929.0817177121,431893.21875,0.05475709214807,408244.001972782,Bulgaria,2019,69,62.5,41.9,35.1,46.5,90.2,63.9,98.8,84.3,62.7,68.4,88,73.0333333333334,86,70,60,72,2019,Bulgaria,7.67,7.35,5.72,5.72,9.51,8.5,7.25
60,Croatia,2000,58379.2734375,59457.61328125,1.67029082775116,1922.08853560977,2.91005373001099,9342.57283420465,345056.875,0.03595159202814,332651.531003495,Croatia,2000,53.6,30,,50,40,68.9,41.9,,55.4,55,,70,62.5,67,50,50,55.6666666666667,2000,Croatia,6.02,4.21,4.69,5.15,7.62,7.31,6.28
61,Croatia,2001,61297.0078125,62203.1328125,1.68891906738281,1923.37963856197,2.9377019405365,9542.92659227406,351645.1875,0.03653603047132,338797.468214405,Croatia,2001,50.7,30,,27,28.5,66.9,33.7,,50.3,55,,71.7,63.35,71.6,50,50,57.2,2001,Croatia,6.12,4.69,4.86,5.33,7.69,7.17,6.16
62,Croatia,2002,66237.765625,66871.96875,1.69688057899475,1923.65325393233,2.96561288833618,9680.38279343962,360448.53125,0.0373585857451,346982.683888603,Croatia,2002,51.1,30,,37,33.5,68.3,25,,46.65,55,,75.7,65.35,68.8,50,50,56.2666666666667,2002,Croatia,6.19,4.68,4.84,5.31,7.91,7.16,6.36
63,Croatia,2003,72183.4453125,71193.3125,1.7362756729126,1924.73450749351,2.99378895759583,10004.8526120998,373833.5625,0.03836244344711,359492.393599961,Croatia,2003,53.3,30,,39,34.5,77.6,28.6,,53.1,55,,76.3,65.65,72.8,50,50,57.6,2003,Croatia,6.25,4.53,4.87,5.34,7.91,7.56,6.38
64,Croatia,2004,75978.09375,73213.4453125,1.74780058860779,1926.56113119548,3.0222327709198,10176.5972168582,387740.5625,0.0395209826529,372416.674455611,Croatia,2004,53.1,30,,38,34,67.3,22.9,,45.1,55,,79.5,67.25,65.4,50,70,61.8,2004,Croatia,6.2,4.43,4.97,5.45,8.08,7.37,6.15
65,Croatia,2005,78930.3984375,79473.25,1.76198196411133,1926.50483954688,3.05094695091248,10356.3380756328,401870.25,0.04062147065997,385545.68943051,Croatia,2005,51.9,30,,37,33.5,59.3,26.2,,42.75,55,44.3,81.4,60.2333333333333,65.4,50,70,61.8,2005,Croatia,6.46,4.97,5.04,5.53,8.32,7.75,6.2
66,Croatia,2006,87968.609375,86991.078125,1.81403708457947,1928.64449522276,3.0858302116394,10796.1862916207,418176.53125,0.04169287905097,400741.54771064,Croatia,2006,53.6,30,,35,32.5,69.6,23.2,,46.4,54.5,44.6,81.2,60.1,78.4,50,70,66.1333333333333,2006,Croatia,6.5,5.04,5.24,5.75,8.24,7.81,6.15
67,Croatia,2007,96873.03125,94002.2109375,1.86793982982636,1930.66139509262,3.12111258506775,11255.853453067,435760.90625,0.04295418784022,417043.150429512,Croatia,2007,53.4,30,,34,32,69.9,24.4,,47.15,54.2,44.5,79.3,59.3333333333333,87.8,50,60,65.9333333333333,2007,Croatia,6.51,4.94,5.26,5.77,8.2,7.88,6.26
68,Croatia,2008,101422.9609375,99729.6640625,1.90436732769012,1932.20536100546,3.15679836273193,11615.846044671,455347.5625,0.04439647868276,435131.734148224,Croatia,2008,54.11122368,30,,34,32,68.7804,27.97,,48.3752,58.45458538,45.5,78.80924884,60.9212780733333,87.6,50,60,65.8666666666667,2008,Croatia,6.55,5.27,5.18,5.69,8.01,7.87,6.41
69,Croatia,2009,97736.1484375,94669.578125,1.88715255260468,1928.89473833178,3.19289207458496,11622.5059215575,468076.375,0.04514381662011,446945.620962794,Croatia,2009,55.13231527,30,,41,35.5,68.6744,31.7413,,50.20785,59.8611978,43.4,79.03486675,60.76535485,87.6,50,60,65.8666666666667,2009,Croatia,6.56,5.12,5.17,5.67,8.26,7.85,6.39
70,Croatia,2010,95748.3203125,93659.1328125,1.81475949287415,1942.9881528018,3.22939848899841,11387.0405477368,475258.59375,0.04499968886375,453872.104901425,Croatia,2010,59.2,40,,44,42,70.3,47.1,,58.7,61.5,40.8,75.8,59.3666666666667,87.8,65,60,70.9333333333333,2010,Croatia,6.82,5.49,5.9,5.9,8.29,7.86,6.58
71,Croatia,2011,98158.5078125,96750.9609375,1.74425899982452,1940.26442013558,3.26804733276367,11060.1299653738,481505.46875,0.04480503872037,459931.597578587,Croatia,2011,61.1,40,,41,40.5,74.6,50.3,,62.45,65.2,44.1,78.5,62.6,87.6,70,60,72.5333333333333,2011,Croatia,7.11,5.61,5.86,5.86,9.6,7.8,6.67
72,Croatia,2012,97600.359375,96832.2421875,1.68001019954681,1923.78467924672,3.30776190757751,10690.6133270784,486679.25,0.04469375684857,464927.725937254,Croatia,2012,60.9,40,,41,40.5,76.4,45,,60.7,63.4,44.4,81.4,63.0666666666667,87.5,70,60,72.5,2012,Croatia,7.1,5.56,5.87,5.87,9.58,7.86,6.6
73,Croatia,2013,96122.875,92100.046875,1.63398909568787,1909.47262059974,3.34857869148254,10447.7578617094,492060.5625,0.04464594274759,470092.054798277,Croatia,2013,61.3,40,,40,40,75.4,48.7,,62.05,63,42.4,81.1,62.1666666666667,87.5,75,60,74.1666666666667,2013,Croatia,7.12,5.31,5.89,5.89,9.76,7.84,6.79
74,Croatia,2014,94924.8828125,91397.875,1.67663514614105,1891.61518485832,3.39053654670715,10753.2511053719,496533.8125,0.04469738155603,474340.051227215,Croatia,2014,60.4,40,,41.1,40.55,69.4,45.8,,57.6,61.4,39.4,79.2,60,87.4,80,60,75.8,2014,Croatia,7.2,5.23,5.9,5.9,9.79,8.17,6.91
